Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
sep 2012;10882.08122;456.5321033;318.8903347;1722.774836;185.4435355;28.38123958;430.3610026;4692.779365;463.8470874;153.8998659;404.0305289;349.3350937;331.5970882;591.8116864;175.2365784;54.77166454;168.7976783;163.7256608;24.48354205;163.2429432;1.41334069;0.26172198
oct 2012;11640.89498;518.7479842;367.1818987;1893.06587;202.8950167;28.69746437;446.0960888;4964.156843;471.9268057;162.6949632;421.3782188;376.1589428;350.2356303;640.4937578;195.1097134;56.97616375;142.0091065;181.2057436;29.29910456;190.3427954;1.47619829;0.23827389
nov 2012;12076.70278;519.7741792;368.4902851;1910.98733;205.0624308;22.64476199;627.1546812;5058.941793;488.2266599;169.9117291;426.3913767;369.5167818;369.7094545;737.470211;205.7344498;71.71753631;136.2348268;167.7645605;25.0039697;193.5231206;1.53111209;0.3224154
dic 2012;16936.23795;951.5274434;535.9764496;2274.713403;263.6139142;32.60053788;829.6524897;6448.464649;1123.146091;226.1203229;507.0891968;436.295352;588.8344504;1384.858104;256.8605864;86.18259693;192.4270813;443.8261587;43.03826347;304.5235927;5.01689729;0.34826455
ene 2013;10878.07269;498.5875672;291.9153183;1754.396062;205.4949221;29.2371854;499.1992174;4698.03938;465.7664107;159.3967961;397.24217;336.5784408;320.7009989;526.9614378;173.4932798;67.42703044;144.0109515;116.6520336;24.20981268;166.5787475;1.29274496;0.40131455
feb 2013;10152.46382;471.6442865;270.0224689;1644.079994;192.1264479;27.41515792;449.4644016;4272.400598;487.0604139;155.8851978;391.452123;305.7962247;305.9203121;520.432454;181.3212782;60.64389962;111.3573441;126.7396877;22.32948277;154.4816373;1.23620505;0.21846006
mar 2013;11126.70578;529.2537474;308.2864462;1750.546407;191.7934943;28.68931072;461.0709742;4687.491586;496.7468647;170.033141;417.0862403;336.3182631;319.9817213;675.220655;192.0207144;61.42258838;142.5180565;149.7014689;22.64858502;183.6252027;1.34325053;0.40997315
abr 2013;11877.81018;565.7130498;294.8996275;1909.427227;205.2951465;30.71974754;579.5706463;5085.326237;505.8638046;170.0474548;447.0325256;330.3944238;345.580363;645.873027;206.6381939;55.7959014;147.1861936;152.0271245;26.4319732;171.7336456;1.41355423;0.4296143
may 2013;12242.75537;601.2547177;385.832269;1927.324093;205.7685647;31.4761804;500.0623586;5264.92083;489.2513585;179.3024481;457.2075597;341.0274961;370.8425611;725.5116383;213.0165561;59.8486725;123.5768427;159.7286831;24.19814754;180.3856818;1.33032219;0.44470951
jun 2013;13794.52538;815.7285332;444.3508551;2060.194688;192.6449939;33.18998255;541.9243863;5296.45442;1024.44282;194.5444164;436.1421117;316.5316224;441.5805135;884.7903678;210.6595045;58.18555051;186.7144028;381.3525921;28.27813267;241.6992614;3.79224993;0.44022565
jul 2013;12098.39519;546.6494212;385.7942147;1911.878175;176.7059407;34.99984632;562.9813681;5156.379881;530.169367;184.1050006;447.6933036;382.7456767;345.8938796;679.0939264;218.4380248;58.74443121;109.451911;149.1577638;28.99449092;185.9579954;1.64545244;0.32939691
ago 2013;12052.11544;539.706903;381.6543515;1893.999015;137.8768235;33.27008287;544.7923904;5120.380979;524.1751285;188.76921;449.090149;327.0748336;363.5190716;732.8523234;220.2664343;56.72280693;178.684112;149.9132062;27.12034497;179.8298396;1.65093736;0.28417816
sep 2013;12087.76108;523.2783222;443.925815;1886.978776;190.8085264;33.20414224;560.6940806;5079.39536;520.7956951;173.4058867;455.764581;344.5251767;346.7868876;710.3512378;204.5092226;53.94336397;203.8020317;147.3551469;25.12354558;180.2459532;1.76291145;0.63446945
oct 2013;12647.63024;588.6430324;365.5676104;2008.934404;207.2784212;34.59725378;641.2956649;5295.608101;546.9765798;184.8809437;474.6488768;367.8520459;372.6180183;775.6971823;218.6792986;58.98573352;142.3231921;139.3304022;30.5728244;190.7205346;1.61493373;0.27952649
nov 2013;13037.83084;613.4839521;368.5298171;2070.149854;201.8985695;35.46382463;697.6124644;5404.468514;532.0435381;192.1738053;465.9755282;356.2904597;382.8718447;878.7332395;222.4254511;59.65113162;144.5713282;177.7195365;31.13227271;199.6698585;1.68356711;0.87370992
dic 2013;18406.20046;1067.546431;643.2635533;2472.001646;225.5630456;38.95782192;1117.201788;6867.087565;1209.24334;255.3148888;546.258894;435.7359078;611.9436381;1468.196771;289.2429009;100.7355615;204.8226346;469.5190073;47.4815258;329.5818608;4.54880866;0.56765497
ene 2014;11423.26108;614.9867072;325.9045905;1830.302491;211.1209773;34.17739512;379.4611597;5000.143326;505.2522307;172.8972366;403.1679065;308.2550898;320.9029535;553.0839173;184.7792962;60.64831768;156.3707644;157.8223258;28.68780861;173.1476456;1.42052508;0.37479344
feb 2014;11575.31753;578.0373928;400.1173959;1781.176508;217.9117513;35.02278568;538.6178966;4804.302836;527.8696696;173.7315267;421.2040659;304.2711669;327.7901606;695.9547787;199.3425384;49.96040414;145.4715835;182.6511879;25.0535427;164.5444483;1.55851199;0.4277536
mar 2014;11858.07423;605.6747221;431.9579188;1820.981698;223.0453705;31.89930823;492.1948716;5003.855976;514.5607897;187.3459945;431.1289248;302.0503379;344.5674031;652.8071112;220.3413559;52.09283035;146.1080424;174.4958942;24.31443001;196.250113;1.52958836;0.46167202
abr 2014;12440.35107;608.7001531;416.0560033;1922.012931;219.3196759;35.75065213;512.510985;5293.064392;523.6286964;189.2032008;453.7526612;300.2800951;348.446869;759.99901;224.7627685;53.37902914;155.6188188;211.2685984;27.99682447;182.0846962;1.58016331;0.52848166
