Nombre;Ventas anual;rama
TERMINAL PORTUARIO DE MANTA TPM S.A.;22878614.17;Transporte y almacenamiento
HOLCIM AGREGADOS S.A.;22803140.12;Minas y canteras
BURSAL S.A.;22791137.43;Minas y canteras
ATTENZA DF ECUADOR S.A.S.;22694944.04;Transporte y almacenamiento
AKROS CIA. LTDA.;22682899.68;Información y comunicación
TRANSPORTES Y SERVICIOS ASOCIADOS SYTSA CIA. LTDA;22633123.28;Transporte y almacenamiento
MULTICINES S.A.;22597372.44;Información y comunicación
ETINAR S.A.;22559322.95;Construcción
TONGLING NONFERROUS METALS GROUP TONGGUAN CONSTRUCTION AND INSTALLATION CO., LTD.;22276492.77;Construcción
SYNLAB S.A.S.;22053979.72;Actividades de atención a salud
MKP-ECUADOR S.A.S.;21999593.66;Actividades profesionales
ECUAESTIBAS S.A.;21920491.32;Transporte y almacenamiento
CELI & CELI CIA. LTDA.;21863280.1;Construcción
LANDCO CONSTRUCTORS S.A.;21754620.15;Construcción
DELIVERY HERO (DH E-COMMERCE) ECUADOR S.A.S.;21743884.7;Información y comunicación
CASSCARSONE CIA.LTDA.;21733972.48;Actividades inmobiliarias
SERVICE OIL ECUADOR ECUASERVOIL S.A.;21595230.36;Actividades de servicios administrativos y de apoyo
AEROTRANSPORTES MAS DE CARGA SOCIEDAD ANONIMA DE CAPITAL VARIABLE;21482591.2;Transporte y almacenamiento
ISLAS GALAPAGOS TURISMO Y VAPORES CA;21466480.31;Transporte y almacenamiento
ELVAYKA KYOEI S.A.;21329789.97;Actividades inmobiliarias
HAPAG-LLOYD ECUADOR S.A.;21250577.94;Transporte y almacenamiento
CIERPRONTI S.A.;21230422.59;Actividades de servicios administrativos y de apoyo
EMINENS CIA. LTDA.;21209372.65;Actividades profesionales
RECICLADORA DE PLASTICOS RECIPLASTICOS S.A.;21204072.73;Distribución de Agua Alcantarillado y gestión de desechos
ESTRUCTURAS DE HIERRO EDEHSA SA;21007608.4;Construcción
SIMEUSFQ, SISTEMAS MEDICOS DE LA UNIVERSIDAD SAN FRANCISCO DE QUITO S.A.;20957901.63;Actividades de atención a salud
PEREZ, BUSTAMANTE & PONCE ABOGADOS CIA. LTDA.;20803695.68;Actividades profesionales
